Pinterest Catalog - FIN 22
,,,,,,,
id,title,image_link,Link,description,price,availability,varient_names
28,Luna Rose,https://www.kateandkrisshop.com/product-page/rose-moons,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,23,in stock ,
29,Chocolate Bar Notepad,https://www.kateandkrisshop.com/product-page/chocolate-bar-notebook,https://www.kateandkrisshop.com/product-page/chocolate-bar-notebook,Professionally Printed | 5.5” X 5.5” comes with 50 sheets,11,in stock ,
30,Blue Cloud Notepad,https://www.kateandkrisshop.com/product-page/blue-cloud-notebook,https://www.kateandkrisshop.com/product-page/blue-cloud-notebook,Professionally Printed | 5.5” X 5.5” comes with 50 sheets,11,in stock ,
31,Rainbow Cloud Notepad,https://www.kateandkrisshop.com/product-page/rainbow-cloud-notepad,https://www.kateandkrisshop.com/product-page/rainbow-cloud-notepad,Professionally Printed | 5.5” X 5.5” comes with 50 sheets,11,in stock ,
32,Strawberry Cupcake Notepad,https://www.kateandkrisshop.com/product-page/strawberry-cupcake-notepad,https://www.kateandkrisshop.com/product-page/strawberry-cupcake-notepad,Professionally Printed | 5.5” X 8.5” comes with 50 sheets,12,in stock ,
33,Ice Cream Drip Notepad,https://www.kateandkrisshop.com/product-page/ice-cream-drip-notepad,https://www.kateandkrisshop.com/product-page/ice-cream-drip-notepad,Professionally Printed | 5.5” X 8.5” comes with 50 sheets,12,in stock ,
34,Macaron Notepad,https://www.kateandkrisshop.com/product-page/macaron-notepad,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Professionally Printed | 5.5” X 5.5” comes with 50 sheets,11,in stock ,
35,Moon Notepad,https://www.kateandkrisshop.com/product-page/moon-notepad,https://www.kateandkrisshop.com/product-page/moon-notepad,Professionally Printed | 5.5” X 8.5” comes with 50 sheets,12,in stock ,
36,Donut Dreams Notepad,https://www.kateandkrisshop.com/product-page/donut-lover-notepad,https://www.kateandkrisshop.com/product-page/donut-lover-notepad,Professionally Printed | 5.5” X 5.5” comes with 50 sheets,11,in stock ,
37,Cosmic Brownie Notepad,https://www.kateandkrisshop.com/product-page/cosmic-brownie-notepad,https://www.kateandkrisshop.com/product-page/cosmic-brownie-notepad,Professionally Printed | 5.5” X 8.5” comes with 50 sheets,12,in stock ,
38,Sprinkles Bullet Journal,https://www.kateandkrisshop.com/product-page/sprinkles-bullet-journal,https://www.kateandkrisshop.com/product-page/sprinkles-bullet-journal,"Bullet Journal | Printed Professionally 6"" X 9"" with 100 Pages",12,in stock ,
39,Macaron Bullet Journal,https://www.kateandkrisshop.com/product-page/macaron-bullet-journal,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,"Bullet Journal | Printed Professionally 6"" X 9"" with 100 Pages",12,in stock ,
40,Moon Bullet Journal,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,"Bullet Journal | Printed Professionally 6"" X 9"" with 100 Pages",12,in stock ,
41,Macaron Magnet,https://www.kateandkrisshop.com/product-page/macaron-magnet,https://www.kateandkrisshop.com/product-page/macaron-magnet,"Printed professionally 3""x 2"" Magnet",3.5,in stock ,
42,No Risk No Magic Magnet,https://www.kateandkrisshop.com/product-page/no-risk-no-magic-magnet,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,"Printed professionally 3""x 3” Magnet",3.5,in stock ,
43,Heartbreaker Magnet,https://www.kateandkrisshop.com/product-page/heartbreaker-magnet,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,"Printed professionally 3""x 3” Magnet",3.5,in stock ,
44,Count your Rainbows Magnet,https://www.kateandkrisshop.com/product-page/count-your-rainbows-magnet,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,"Printed professionally 3""x 3” Magnet",3.5,in stock ,
45,Self Love Vinyl Sticker,https://www.kateandkrisshop.com/product-page/self-love-vinyl-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,"Printed professionally 3""x 3” Magnet",3,in stock ,
46,Don't tell me to Smile Vinyl Sticker,https://www.kateandkrisshop.com/product-page/don-t-tell-me-to-smile-vinyl-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock ,
47,Donut Tower Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/donut-tower-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/donut-tower-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock ,
48,Broken Hearted Gummie Bear Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/broken-hearted-gummie-bear-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/broken-hearted-gummie-bear-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock ,
49,Chocolate Bunny Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/chocolate-bunny-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl with a clear backround,3,in stock ,
50,Sugar Daddy Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/sugar-daddy-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/sugar-daddy-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock ,
51,Count Your Rainbows Vinyl Sticker,https://www.kateandkrisshop.com/product-page/count-your-rainbows-vinyl-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock ,
52,Smores Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/smores-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl with a clear backround,3,in stock ,
53,Strawberry Cupcake Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/strawberry-cupcake-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/strawberry-cupcake-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock ,
54,Rainbow Monthly Planner,https://www.kateandkrisshop.com/product-page/rainbow-daily-planner,https://www.kateandkrisshop.com/product-page/rainbow-daily-planner,"Rainbow Monthly Planner | Printed Professionally 7"" X 10 "" with 100 Pages Custom Drawn Pages for each month | Includes a Mood Tracker, Bullet pages, Monthly, Daily &amp; Weekly Planning",18,in stock ,
55,Rainbow Bullet Journal,https://www.kateandkrisshop.com/product-page/rainbow-bullet-journal,https://www.kateandkrisshop.com/product-page/rainbow-bullet-journal,"Bullet Journal | Printed Professionally 6"" X 9"" with 100 Pages",12,in stock ,
56,"""It's Never too Late for a Fresh Start"" Bullet Journal",https://www.kateandkrisshop.com/product-page/bullet-journal-it-s-never-too-late-for-a-fresh-start,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,"Bullet Journal | Printed Professionally 6"" X 9"" with 100 Pages",12,in stock ,
57,"""Self Care isn't Selfish"" Vinyl Sticker",https://www.kateandkrisshop.com/product-page/self-care-isn-t-selfish-vinyl-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock ,
58,Pride Cake Keychains,https://www.kateandkrisshop.com/product-page/pride-cake-keychains,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Made out of Polymer Clay | Stainless Steal | Hand made with Love | Please choose your Colors ,11,,Asexual;Bisexual;Lesbian;Pansexual;Rainbow;Transgender
,,,,,,in stock ,Rainbow
,,,,,,in stock ,Asexual
,,,,,,in stock ,Pansexual
,,,,,,in stock ,Bisexual
,,,,,,in stock ,Transgender
,,,,,,in stock ,Lesbian
59,Pride Cake Earrings,https://www.kateandkrisshop.com/product-page/pride-cake-earrings,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Made out of Polymer Clay | Stainless Steal | Hand made with Love | Please choose your Colors ,18,in stock ,Asexual;Bisexual;Transgender;Rainbow;Pansexual;Lesbian
,,,,,,in stock ,Lesbian
,,,,,,out of stock,Rainbow
,,,,,,in stock,Asexual
,,,,,,stock,Transgender
,,,,,,out of stock,Pansexual
,,,,,,out of stock,Bisexual
60,Strawberry Studs,https://www.kateandkrisshop.com/product-page/strawberry-studs,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,10,in stock,
61,Galaxy Donuts,https://www.kateandkrisshop.com/product-page/galaxy-donuts,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,18,out of stock,
62,The Daisy-Hearts,https://www.kateandkrisshop.com/product-page/the-daisy-hearts,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,12,in stock,
63,Rainbow Dreams,https://www.kateandkrisshop.com/product-page/rainbow-daydreams,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,15,stock,
64,To the Moon & Backs,https://www.kateandkrisshop.com/product-page/to-the-moon-backs,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,14,stock,
65,Mini Macaron Earrings,https://www.kateandkrisshop.com/product-page/mini-macaron-earrings,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,15,stock,
66,"He loves me, he loves me nots",https://www.kateandkrisshop.com/product-page/he-loves-me-he-loves-me-nots,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,12,,Dark Pink;Pearl
,,,,,,out of stock,Pearl
,,,,,,in stock,Dark Pink
67,Cotton Candy Hoops,https://www.kateandkrisshop.com/product-page/cotton-candy-hoops,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,10,in stock,
68,Daisy Drops,https://www.kateandkrisshop.com/product-page/daisy-drops,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,12,in stock,
69,Luna Moons,https://www.kateandkrisshop.com/product-page/luna-moons,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,20,out of stock,
70,Whipped Cream Studs,https://www.kateandkrisshop.com/product-page/whipped-cream-studs,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,10,in stock,
71,Chococlate Cake Earrings,https://www.kateandkrisshop.com/product-page/chococlate-cake-earrings,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,18,in stock,
72,Cheesecake Earrings (Blueberry or Cherry),https://www.kateandkrisshop.com/product-page/cheesecake-earrings,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,15,,Blueberry;Cherry
,,,,,,in stock,Cherry
,,,,,,in stock,Blueberry
73,Purple MegaStars,https://www.kateandkrisshop.com/product-page/purple-megastars,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,14,out of stock,
74,Macaron Keychain,https://www.kateandkrisshop.com/product-page/cotton-candy-macaron-keychain,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,9,in stock,
75,Choclate Truffle Keychain,https://www.kateandkrisshop.com/product-page/choclate-truffle-keychain,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,10,stock,
76,Bi-Latte Vinyl Sticker,https://www.kateandkrisshop.com/product-page/bi-latte-vinyl-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,stock,
77,"""Rainbow Butterfly"" Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/rainbow-butterfly-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,stock,
78,"""Proud AF"" Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/proud-af-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,stock,
79,Strawberries & Cream,https://www.kateandkrisshop.com/product-page/stawberries-cream-waffle-earrings,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,15,stock,
80,Rainbow Cake Keychain,https://www.kateandkrisshop.com/product-page/rainbow-cake-keychain,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,11,out of stock,
81,"""Slice of Cake"" Keychain",https://www.kateandkrisshop.com/product-page/slice-of-cake-keychain,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,9,in stock,
82,"""Grow as you go"" Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/grow-as-you-go-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
83,Frenchie Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/frenchie-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,3,in stock,
84,"Glitter ""You are Magic"" Vinyl Sticker",https://www.kateandkrisshop.com/product-page/glitter-you-are-magic-vinyl-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,,in stock,
85,Starstruck,https://www.kateandkrisshop.com/product-page/star-drop-earrings,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,14,out of stock,
86,"""It's never too late for a fresh start"" Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/it-s-never-too-late-for-a-fresh-start-clear-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
87,Dreamer Cloud Vinyl Sticker,https://www.kateandkrisshop.com/product-page/dreamer-cloud-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
88,MegaStar Studs,https://www.kateandkrisshop.com/product-page/rainbow-star-studs,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,14,out of stock,
89,Cherry Blossoms,https://www.kateandkrisshop.com/product-page/pink-flower-drop-earrings,https://www.kateandkrisshop.com/product-page/pink-flower-drop-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,15,in stock,
90,The Get Downs,https://www.kateandkrisshop.com/product-page/retro-purple-swirl-square-earrings,https://www.kateandkrisshop.com/product-page/retro-purple-swirl-square-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,16,in stock,
91,Pretty in Pinks,https://www.kateandkrisshop.com/product-page/pink-heart-with-bow-studs,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,12,in stock,
92,The Main Characters,https://www.kateandkrisshop.com/product-page/sparkly-unicorn-dust-heart-stud-earrings,https://www.kateandkrisshop.com/product-page/sparkly-unicorn-dust-heart-stud-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,16,in stock,
93,Sugar Highs,https://www.kateandkrisshop.com/product-page/jam-cookie-sandwhich-earrings,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,18,in stock,Pink;Red
,,,,,,in stock,Red
,,,,,,in stock,Pink
94,Smore Loves,https://www.kateandkrisshop.com/product-page/smores-earrings,https://www.kateandkrisshop.com/product-page/smores-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,16,out of stock,
95,Grandma's Biscuits,https://www.kateandkrisshop.com/product-page/cookie-sandwhich-earrings-1,https://www.kateandkrisshop.com/product-page/cookie-sandwhich-earrings-1,Made out of Polymer Clay | Stainless Steal | Hand made with Love,14,in stock,
